,AQI,PM10,PM2_5,NO2,SO2,O3,temperature,humidity,wind_speed,respiratory_cases,cardiovascular_cases,hospital_admissions,health_impact_score,health_impact_class
1291,66,287,23,2,24,106,15,63,16,11,6,3,63,1
1295,100,8,122,43,76,67,33,26,9,12,3,4,68,1
1296,83,73,11,100,36,197,34,94,3,7,4,3,64,1
1302,25,57,85,177,40,31,14,47,10,12,10,3,52,2
1310,40,36,106,199,49,31,2,79,14,17,4,1,61,1
1319,30,84,134,58,70,141,22,79,11,10,6,1,66,1
1387,65,279,36,190,92,3,35,27,8,9,5,1,76,1
1391,36,155,36,135,49,201,25,59,12,8,5,3,68,1
1402,18,152,109,181,71,155,17,12,6,5,6,6,78,1
1412,134,90,8,173,99,30,1,99,17,9,4,1,75,1
1422,20,163,85,156,50,150,7,80,9,15,5,2,71,1
1423,74,101,128,32,69,50,30,74,14,10,5,2,67,1
1435,14,200,6,18,73,48,36,64,6,8,7,8,34,3
1454,15,23,163,146,81,184,31,92,12,8,8,2,74,1
1458,107,106,54,92,85,15,31,29,16,12,1,3,66,1
1462,53,7,45,133,73,283,22,50,14,15,4,3,69,1
1465,24,90,193,22,79,23,9,41,12,14,3,1,62,1
1481,60,31,154,138,4,59,5,71,1,13,11,3,71,1
1483,2,48,126,70,85,191,18,75,3,13,5,1,60,1
1490,118,129,18,9,83,113,12,39,18,14,5,2,67,1
1513,9,20,199,11,15,177,22,99,8,9,4,3,62,1
1541,53,148,19,71,43,174,9,58,2,11,4,2,61,1
1543,128,50,10,128,77,93,30,14,6,5,7,1,69,1
1576,11,292,69,28,35,190,11,65,9,13,5,1,69,1
1592,64,121,6,135,65,129,15,18,16,4,4,2,60,1
1598,42,179,85,110,86,88,2,21,9,9,3,5,71,1
1606,33,54,21,5,91,26,32,11,3,13,5,1,25,3
1624,87,269,67,13,21,110,2,60,15,9,6,5,79,1
1628,48,38,145,168,8,125,18,45,3,13,5,5,76,1
1650,18,110,34,165,13,275,37,28,7,12,4,2,65,1
1668,58,134,106,32,12,232,15,17,8,13,2,2,78,1
1696,12,98,177,59,11,104,9,22,5,9,9,4,65,1
1697,67,182,113,48,16,140,16,89,2,5,3,1,79,1
1716,28,164,78,184,8,201,37,60,16,9,10,1,77,1
1720,71,35,61,53,38,162,37,25,12,16,4,2,58,2
1743,5,189,124,104,39,133,36,90,7,9,3,2,68,1
1746,9,152,162,108,53,7,25,39,6,11,6,2,63,1
1752,6,216,91,155,72,3,23,98,19,12,4,3,59,2
1758,54,11,16,197,60,78,12,38,9,12,4,1,50,2
1788,33,84,24,198,63,33,1,52,11,13,3,1,48,2
1790,75,53,7,192,79,82,5,85,19,12,2,2,59,2
1794,20,201,15,98,69,121,1,12,8,10,1,2,54,2
1795,42,56,191,34,83,146,25,98,17,10,7,5,76,1
1799,6,93,44,66,1,232,10,13,19,12,4,5,48,2
1808,87,131,21,3,47,19,27,91,7,13,6,2,46,2
1814,41,195,67,12,51,39,4,41,4,11,1,4,52,2
1821,60,97,150,29,27,152,26,47,11,7,3,3,75,1
1846,60,200,46,81,56,116,10,52,17,10,2,2,68,1
1867,82,22,87,152,47,157,16,89,9,9,5,5,76,1
1886,4,206,66,199,47,83,5,36,10,7,5,1,65,1
1901,2,71,171,137,18,58,2,92,19,10,6,7,61,1
1909,74,166,80,160,94,32,25,84,6,10,2,2,77,1
1929,32,181,107,146,40,78,34,48,14,9,3,4,71,1
1939,38,47,71,66,48,278,17,10,18,10,8,6,65,1
1948,164,58,29,2,22,171,12,98,18,11,5,2,78,1
1969,13,136,84,114,63,260,28,60,18,11,8,2,72,1
1980,93,65,94,73,59,128,5,28,7,5,7,2,75,1
1998,28,6,96,17,16,85,9,64,7,18,2,4,38,3
2003,124,68,81,88,54,69,16,27,2,8,2,1,78,1
2010,16,114,28,44,25,296,14,17,16,9,5,2,56,2
2018,10,28,102,124,26,171,35,35,9,10,4,2,55,2
2037,75,35,14,19,32,185,31,35,16,15,8,1,48,2
2049,40,16,5,129,60,172,5,20,13,12,6,1,47,2
2060,31,9,168,62,74,229,38,69,8,10,6,2,74,1
2102,78,14,189,102,67,4,23,30,12,13,6,2,75,1
2112,92,23,144,39,10,112,9,94,9,10,5,2,73,1
2131,6,270,46,65,98,250,5,87,18,5,5,3,73,1
2136,39,218,36,118,3,2,20,45,9,9,8,2,51,2
2151,86,38,160,17,38,78,34,62,15,6,7,1,71,1
2154,50,9,81,180,95,156,29,47,13,7,10,3,68,1
2182,16,94,159,34,3,100,26,56,17,9,8,3,57,2
2194,55,109,51,134,30,45,30,70,14,12,3,1,55,2
2212,9,123,79,190,83,134,27,39,14,4,2,1,65,1
2241,17,288,176,40,93,22,5,38,17,16,3,1,79,1
2250,46,77,128,184,7,123,32,45,15,10,9,2,76,1
2270,52,42,58,123,20,173,16,77,19,10,7,3,60,1
2283,22,159,75,4,89,276,19,97,6,9,6,1,69,1
2289,98,244,27,98,10,57,21,60,11,12,4,4,73,1
2295,3,59,147,153,51,210,11,13,11,8,6,3,74,1
2355,60,15,66,178,5,252,12,26,8,13,6,4,75,1
2357,33,130,40,23,60,118,33,59,3,4,5,2,46,2
2360,5,240,51,12,72,151,9,25,10,7,4,1,55,2
2365,21,70,56,172,75,6,15,19,10,8,5,2,45,2
2366,61,219,23,68,25,206,5,18,1,9,5,4,73,1
2393,71,199,41,52,90,140,14,28,6,6,6,3,72,1
2413,13,104,153,31,51,144,19,66,15,3,10,1,63,1
2418,15,157,5,48,81,246,23,16,15,15,7,2,53,2
2419,193,60,30,12,29,54,38,27,17,8,7,3,75,1
2421,11,239,14,54,70,205,23,89,11,7,6,3,58,2
2455,69,197,24,115,75,170,29,82,12,12,5,1,75,1
2483,74,231,59,67,16,73,17,73,13,13,1,2,70,1
2528,4,235,127,38,21,237,31,56,15,14,3,3,76,1
2537,71,140,3,64,25,215,21,43,3,12,4,2,64,1
2544,44,95,62,48,82,212,13,34,9,7,3,1,64,1
2546,38,159,34,88,86,27,38,40,10,13,3,4,47,2
2551,55,70,163,67,34,113,29,77,1,10,3,2,74,1
2554,36,229,63,157,20,112,12,73,9,12,3,4,73,1
2563,36,174,86,9,14,135,17,33,11,6,9,2,59,2
2586,35,134,185,48,47,94,30,19,6,9,7,1,76,1
2594,71,62,16,4,70,200,17,53,7,12,5,1,53,2
2596,135,72,49,21,84,36,33,67,3,9,6,3,66,1
2607,138,228,19,40,48,53,39,62,13,10,7,1,77,1
2615,50,35,54,103,85,42,27,18,9,9,6,4,46,2
2626,44,6,85,133,23,73,38,74,17,11,5,1,50,2
2632,2,124,163,85,76,204,12,34,14,6,6,4,77,1
2633,83,53,183,58,34,58,28,71,12,17,2,4,78,1
2653,26,298,40,41,86,115,23,96,2,7,2,1,64,1
2685,9,298,37,15,99,114,24,46,6,5,3,1,56,2
2686,62,166,40,71,22,57,25,57,13,14,6,4,55,2
2692,4,291,155,37,24,41,10,57,5,12,6,2,69,1
2703,8,95,177,50,90,99,33,10,12,6,7,5,64,1
2708,8,253,27,34,17,273,33,54,14,4,8,4,62,1
2726,32,266,37,60,41,84,6,86,15,9,5,2,59,2
2732,28,197,18,54,51,14,15,51,17,11,1,5,40,2
2739,37,274,158,9,96,53,31,61,13,4,4,3,79,1
2742,97,123,15,26,29,139,6,34,18,10,3,1,61,1
2743,70,121,92,174,24,31,34,64,8,15,4,1,71,1
2761,3,86,29,74,78,187,9,45,17,15,5,3,44,2
2770,38,230,17,29,67,150,8,95,7,9,3,2,58,2
2776,21,228,154,38,62,82,14,98,9,10,8,1,74,1
2777,82,153,10,44,59,195,29,77,14,7,5,2,67,1
2780,24,2,12,69,15,238,2,52,14,9,8,2,40,2
2807,80,4,17,57,43,134,17,86,15,13,3,2,47,2
2810,123,53,4,155,25,162,38,32,10,9,3,2,74,1
2817,6,85,68,166,65,247,26,72,4,15,6,5,67,1
2829,14,248,33,104,43,268,1,15,12,17,7,1,74,1
2837,22,215,154,80,2,130,29,10,11,8,4,2,78,1
2877,102,66,90,64,35,64,26,17,12,10,5,3,68,1
2883,35,155,93,156,5,185,24,33,7,10,4,3,77,1
2905,27,157,72,110,53,259,3,41,13,9,9,1,77,1
2932,39,16,51,152,70,246,15,28,9,9,5,3,65,1
2977,5,26,198,44,39,188,21,52,6,11,4,1,67,1
2981,117,42,54,124,9,79,4,24,7,4,10,3,70,1
2986,25,152,102,64,81,236,18,85,3,13,7,3,76,1
2994,65,252,50,8,7,153,8,19,6,9,5,4,70,1
3007,6,173,23,38,67,199,20,96,15,6,8,1,49,2
3024,28,12,176,108,15,169,1,67,9,14,3,1,73,1
3040,89,141,66,10,28,159,36,76,7,11,6,1,70,1
3042,56,206,27,161,33,37,39,18,15,7,4,3,61,1
3050,102,245,21,96,56,34,9,19,3,14,4,1,74,1
3053,143,3,7,67,8,103,17,77,11,10,2,2,61,1
3066,7,99,190,57,11,32,35,68,9,6,10,3,57,2
3077,52,93,128,35,45,65,1,53,5,9,3,2,63,1
3089,126,109,10,26,5,249,19,21,2,16,6,4,77,1
3097,50,166,68,49,93,256,35,39,16,13,4,4,78,1
3107,4,133,186,128,56,124,29,77,19,7,4,3,77,1
3113,45,47,3,157,3,101,13,36,8,11,2,1,44,2
3114,99,178,12,6,36,244,10,94,9,11,1,2,76,1
3122,31,200,22,154,84,154,12,51,3,14,7,1,68,1
3139,34,82,176,2,32,122,28,57,1,6,2,1,66,1
3161,10,82,116,17,88,27,2,21,10,7,7,2,42,2
3164,28,166,147,98,59,64,25,75,15,7,7,1,71,1
3174,35,208,57,29,42,79,34,12,17,13,4,2,53,2
3181,144,102,28,79,45,32,33,51,9,6,3,3,70,1
3182,154,142,14,24,37,62,36,20,17,7,3,2,71,1
3202,96,15,78,78,63,42,4,86,18,9,3,3,60,1
3223,9,136,157,27,99,33,35,30,8,8,1,3,56,2
3253,58,151,121,101,12,115,30,54,2,11,6,2,77,1
3257,103,9,6,66,72,257,27,63,4,12,6,2,67,1
3263,9,110,177,56,21,148,31,49,7,11,4,5,69,1
3271,4,99,158,151,73,181,33,93,9,10,3,4,77,1
3281,91,146,41,19,58,255,30,93,17,7,7,2,78,1
3321,33,156,69,101,80,72,26,63,19,9,3,6,58,2
3355,38,256,41,43,35,292,19,17,3,8,3,2,79,1
3384,16,27,51,60,2,68,10,13,4,13,5,3,30,3
3400,33,282,16,140,10,2,23,39,2,8,5,2,55,2
3401,47,19,154,41,26,234,35,76,8,10,6,2,73,1
3409,20,27,189,59,88,142,6,94,11,4,4,2,70,1
3412,11,79,121,188,70,45,26,60,17,8,4,3,60,1
3419,7,142,4,8,65,250,22,29,13,11,5,3,44,2
3442,105,91,20,64,99,16,34,41,2,10,5,1,56,2
3480,76,164,37,3,81,164,20,85,7,14,3,3,66,1
3487,25,283,29,188,46,62,7,23,10,8,2,3,68,1
3488,15,29,153,139,54,55,18,47,11,9,3,1,59,2
3490,42,148,180,64,61,62,37,20,11,9,6,2,76,1
3516,42,62,53,57,56,257,6,93,8,14,11,2,63,1
3539,31,33,105,50,4,59,29,57,12,11,7,3,42,2
3542,73,60,59,74,31,209,3,21,12,6,3,2,69,1
3543,171,23,31,20,66,36,22,70,5,8,3,1,67,1
3546,41,48,116,51,70,171,13,22,17,12,6,1,64,1
3562,28,262,2,30,17,47,30,14,7,13,3,1,41,2
3570,156,90,56,14,80,12,29,24,8,7,6,2,72,1
3576,97,79,40,31,28,97,3,53,17,11,3,3,58,2
3591,87,167,11,169,39,97,6,29,19,8,9,1,72,1
3602,92,33,1,38,83,127,38,63,17,7,3,4,49,2
3603,139,140,9,101,90,57,20,42,12,8,6,3,76,1
3604,109,21,29,40,29,24,31,60,16,18,7,3,46,2
3622,109,87,31,110,69,130,23,47,2,8,2,1,73,1
3631,76,71,151,119,59,18,25,54,4,9,2,7,75,1
3637,20,96,128,26,23,298,13,19,8,12,4,1,74,1
3654,15,286,81,174,35,117,32,53,8,8,3,1,78,1
3668,12,31,69,11,56,191,37,60,1,8,3,3,42,2
3681,62,104,76,1,13,113,24,50,19,14,3,3,54,2
3688,33,64,198,46,56,122,16,85,13,13,4,1,74,1
3695,15,26,46,42,85,103,7,81,1,7,4,1,34,3
3727,46,10,124,13,20,111,8,70,3,4,3,3,52,2
3760,59,30,2,112,50,85,15,60,13,5,2,2,42,2
3768,82,66,29,118,48,62,30,54,19,8,7,4,55,2
3782,5,119,186,22,81,210,1,55,3,4,5,1,77,1
3785,52,149,56,181,60,30,38,52,4,9,8,2,64,1
3791,33,51,61,50,48,159,12,46,13,9,6,1,49,2
3794,16,232,30,25,30,11,35,64,15,11,8,4,36,3
3797,51,61,71,87,21,100,11,65,19,15,6,1,54,2
3808,25,57,123,78,39,40,1,23,10,8,9,2,51,2
3809,26,132,195,2,7,126,1,82,18,18,8,3,72,1
3824,104,59,93,54,72,91,10,41,16,5,4,3,72,1
3825,42,280,62,102,56,48,17,91,7,9,5,4,69,1
3841,16,74,58,130,24,95,36,70,8,9,5,2,45,2
3855,38,14,109,19,46,152,22,51,11,13,2,5,52,2
3869,35,152,38,163,66,45,31,51,10,8,4,2,55,2
3903,125,144,26,137,65,5,35,87,12,7,4,3,72,1
3912,3,220,52,127,54,280,14,39,14,11,4,3,75,1
3929,60,2,61,68,90,192,25,24,12,10,11,2,59,2
3944,50,80,102,149,45,62,16,59,19,9,8,2,65,1
3945,8,72,64,129,89,152,17,53,3,5,5,1,54,2
3958,25,54,188,8,70,187,19,79,6,7,4,1,72,1
3964,5,139,41,2,59,132,6,30,6,10,4,1,39,3
3967,20,119,6,106,2,190,13,36,1,8,4,2,48,2
3982,112,79,52,72,32,106,19,56,13,6,4,3,69,1
4013,96,148,5,180,4,84,36,37,19,10,3,2,68,1
4019,114,122,85,20,60,53,16,82,9,4,8,3,73,1
4021,120,48,57,136,17,126,33,77,11,16,5,1,77,1
4045,213,23,6,4,7,45,11,67,5,9,8,1,72,1
4055,8,128,117,148,8,161,9,26,18,7,3,2,68,1
4065,51,17,23,35,81,275,34,73,11,12,3,3,54,2
4077,137,55,99,11,14,2,36,38,17,12,6,4,66,1
4089,22,6,188,39,94,179,24,21,11,10,7,3,70,1
4097,40,50,147,78,18,62,9,58,9,10,10,1,60,1
4098,129,9,80,31,48,166,18,47,11,3,5,3,76,1
4099,13,98,14,35,92,275,37,40,18,11,13,2,49,2
4103,87,135,10,108,18,107,32,86,14,16,5,4,61,1
4107,25,8,43,145,54,160,37,77,4,15,2,2,48,2
4113,44,159,72,141,1,240,39,78,16,6,3,2,79,1
4118,71,268,80,71,4,3,8,52,4,13,6,3,71,1
4131,108,3,76,27,21,173,27,83,10,7,4,2,67,1
4141,67,116,12,195,5,51,33,42,17,8,5,1,56,2
4146,51,227,110,18,43,25,1,79,15,10,4,1,65,1
4150,59,171,45,112,30,50,20,66,19,12,7,2,59,2
4155,6,214,128,116,40,27,34,51,14,12,6,1,63,1
4169,48,106,91,145,52,152,10,39,7,11,4,7,74,1
4170,88,180,39,15,78,217,21,82,15,6,4,2,78,1
4184,66,257,28,9,76,174,13,97,6,7,9,3,72,1
4202,62,99,16,13,90,102,2,13,4,6,5,2,47,2
4210,52,8,90,99,16,110,12,91,1,6,6,2,55,2
4234,10,185,170,135,75,77,9,36,19,7,3,1,79,1
4267,30,17,186,10,35,12,20,57,13,9,3,3,50,2
4280,81,48,52,9,13,21,16,32,6,9,3,3,42,2
4283,29,248,26,57,62,146,33,35,14,7,4,1,59,2
4291,39,294,20,79,14,33,10,60,4,9,6,3,56,2
4300,40,10,47,193,3,258,2,68,1,13,3,3,67,1
4335,27,235,96,80,1,216,31,96,10,8,5,3,78,1
4356,110,103,35,83,22,198,22,53,10,6,3,2,78,1
4366,40,128,148,82,71,54,21,65,8,12,4,2,70,1
4372,25,112,187,20,18,145,23,99,12,6,4,5,72,1
4380,31,90,94,6,56,257,17,38,5,12,3,2,65,1
4388,49,70,8,159,95,238,13,85,15,17,2,3,66,1
4393,22,47,108,104,24,229,6,64,3,14,7,3,67,1
4397,38,8,193,64,37,74,15,38,14,8,4,2,65,1
4400,61,99,22,199,11,59,18,34,11,13,6,2,57,2
4410,38,217,173,59,5,49,26,88,13,7,9,2,77,1
4411,2,289,83,154,5,79,4,79,17,9,2,2,68,1
4417,12,58,78,8,70,294,37,25,18,8,3,3,56,2
4418,167,78,21,5,37,36,11,20,5,13,4,3,67,1
4420,49,99,7,60,23,236,20,79,11,5,3,2,55,2
4426,118,99,113,22,68,12,25,88,10,12,9,2,73,1
4439,120,209,25,93,92,38,35,71,14,5,5,2,77,1
4455,29,141,15,172,66,95,20,64,4,6,2,2,54,2
4466,66,249,129,17,64,31,2,99,10,10,7,2,78,1
4486,12,107,9,88,19,57,13,27,6,8,5,2,30,3
4487,177,13,31,30,26,21,32,68,15,8,4,2,64,1
4502,144,16,101,41,14,103,32,65,15,8,6,2,78,1
4507,11,211,88,21,13,191,9,80,8,15,5,3,63,1
4519,11,213,38,121,22,216,14,45,11,8,5,5,66,1
4529,90,37,111,47,82,154,4,99,19,10,5,4,76,1
4531,99,42,59,161,38,88,25,43,10,10,6,1,71,1
4538,40,146,108,121,81,57,13,93,18,10,4,2,68,1
4546,6,113,87,27,59,266,20,64,18,11,8,2,61,1
4622,73,141,108,42,32,154,25,90,11,10,4,2,77,1
4666,52,15,7,62,79,208,39,61,17,11,9,1,46,2
4676,23,281,100,34,20,23,33,89,3,4,5,2,60,1
4729,83,31,151,97,92,13,24,43,7,5,6,2,72,1
4741,55,172,74,155,54,146,37,47,4,11,7,3,79,1
4742,17,175,3,128,56,137,37,55,13,6,3,3,50,2
4745,26,31,50,173,81,54,26,15,13,8,8,4,46,2
4756,4,130,105,138,74,218,3,52,15,11,6,2,74,1
4767,48,38,3,13,66,202,2,42,1,5,6,2,43,2
4780,34,187,86,148,90,10,12,57,9,10,10,3,65,1
4781,93,122,90,175,80,11,19,38,19,11,5,2,79,1
4790,53,62,141,126,69,115,14,36,13,10,5,1,76,1
4800,61,225,49,178,67,35,9,57,12,10,3,1,74,1
4806,38,262,88,35,23,171,1,81,10,6,1,1,76,1
4812,6,270,60,17,60,237,6,79,3,8,3,2,69,1
4819,99,166,50,122,22,82,14,72,7,16,3,2,77,1
4822,188,110,18,9,9,13,15,77,11,12,4,2,72,1
4838,19,203,8,109,28,248,33,67,6,16,5,4,63,1
4843,21,114,13,59,89,211,14,83,14,12,8,3,50,2
4856,73,73,84,77,14,110,3,72,5,5,6,1,65,1
4867,74,56,60,56,32,196,27,15,18,3,4,2,64,1
4871,66,74,63,76,39,276,19,29,13,12,1,3,75,1
4891,27,49,98,115,18,77,23,87,14,7,2,2,51,2
4898,44,34,35,34,42,296,31,67,17,9,3,5,56,2
4900,3,86,167,154,78,138,32,21,15,13,3,4,73,1
4976,61,2,128,105,59,119,22,78,16,14,6,3,67,1
4994,34,26,36,122,77,213,12,28,16,11,5,1,56,2
4996,59,111,9,61,86,281,28,46,19,15,4,1,67,1
5027,26,195,65,116,24,170,28,65,14,12,1,2,68,1
5029,60,256,4,162,19,96,26,67,11,10,3,3,69,1
5053,42,25,84,188,38,56,29,55,6,9,3,3,56,2
5065,18,134,115,190,78,44,37,79,9,6,6,1,67,1
5069,6,112,63,49,37,184,14,67,12,12,6,2,49,2
5073,42,154,132,133,51,117,34,47,13,10,1,1,79,1
5077,118,245,15,89,97,29,23,17,6,5,4,3,78,1
5083,119,183,15,69,10,30,17,89,17,7,8,1,66,1
5089,59,154,65,54,18,188,19,96,9,9,1,2,70,1
5099,19,1,74,188,91,97,1,47,13,9,3,4,53,2
5104,157,23,6,140,1,126,33,78,10,10,8,2,75,1
5122,28,232,43,149,50,68,37,47,16,9,8,1,62,1
5133,8,101,126,7,93,47,14,80,16,11,7,2,46,2
5141,63,67,105,55,21,127,12,82,6,13,7,1,65,1
5161,20,73,99,101,31,72,2,83,17,7,4,4,51,2
